Device Label, Date, Time, Duration
Admission Right Respone,8/26/2021,16:42:29.199,00:00:00.112
Admission Right Respone,8/26/2021,16:25:19.841,00:00:00.111
Admission Right Respone,8/26/2021,16:38:47.527,00:00:00.111
Admission Right Respone,8/26/2021,16:46:12.467,00:00:00.111
Admission Right Respone,8/26/2021,16:52:19.053,00:00:00.111
Admission Right Respone,8/26/2021,16:11:00.804,00:00:00.110
Admission Right Respone,8/26/2021,16:15:05.486,00:00:00.110
Admission Right Respone,8/26/2021,16:30:47.148,00:00:00.110
Admission Right Respone,8/26/2021,16:42:01.107,00:00:00.110
Admission Right Respone,8/26/2021,16:43:08.711,00:00:00.110
Admission Right Respone,8/26/2021,16:43:36.774,00:00:00.110
Admission Right Respone,8/26/2021,16:51:22.886,00:00:00.110
Admission Right Respone,8/26/2021,16:37:51.181,00:00:00.109
Admission Right Respone,8/26/2021,16:53:48.393,00:00:00.109
Admission Right Respone,8/26/2021,16:02:07.977,00:00:00.108
Admission Right Respone,8/26/2021,16:18:31.683,00:00:00.108
Admission Right Respone,8/26/2021,16:28:50.887,00:00:00.108
Admission Right Respone,8/26/2021,16:49:30.651,00:00:00.108
Admission Right Respone,8/26/2021,16:50:54.834,00:00:00.108
Admission Right Respone,8/26/2021,16:58:07.705,00:00:00.108
Admission Right Respone,8/26/2021,16:31:21.074,00:00:00.107
Admission Right Respone,8/26/2021,16:31:56.733,00:00:00.107
Admission Right Respone,8/26/2021,16:40:23.352,00:00:00.107
Admission Right Respone,8/26/2021,16:49:58.702,00:00:00.107
